date,coffee,frozen_drink,iced_coffee,overall_sales,soda_fountain
2019-11-21,331062,32264,5670,401434,109823
2019-11-22,470036,55665,11572,572917,155518
2019-11-23,382023,60410,10234,467175,133463
2019-11-24,294322,56071,8930,373171,116462
2019-11-25,450020,44863,10248,541434,143895
2019-11-26,457311,45244,10113,544324,142122
2019-11-27,469973,43624,9390,536553,127955
2019-11-28,322675,41141,7592,355741,88382
2019-11-29,387834,46826,8183,436753,106719
2019-11-30,361873,49200,8104,416876,109245
2019-12-01,297244,42181,7213,346450,98516
2019-12-02,448472,35270,8986,516421,130042
2019-12-03,473500,37562,9020,544889,134170
2019-12-04,462934,37280,8752,534336,130499
2019-12-05,458735,42363,9976,544179,138618
2019-12-06,466275,50435,10696,553531,140789
2019-12-07,385420,52429,9226,448335,118506
2019-12-08,299140,48222,8164,357388,103759
2019-12-09,421842,39382,9683,499822,133673
2019-12-10,442344,39800,10209,516394,133153
2019-12-11,460321,38992,9916,529643,132115
2019-12-12,465141,41444,10137,534239,133451
2019-12-13,456981,51381,10998,535424,137634
2019-12-14,383494,52768,9785,425906,116868
2019-12-15,312125,47746,8183,357391,101802
2019-12-16,466288,37859,9128,514328,125514
2019-12-17,456694,37270,9253,512996,127032
2019-12-18,486295,35378,8650,533104,122178
2019-12-19,487287,38851,8614,539043,125274
2019-12-20,469733,47000,9503,534449,130171
2019-12-21,376890,49753,8787,430470,112022
2019-12-22,299277,47820,7649,349218,98111
2019-12-23,421629,43253,8479,478641,117500
2019-12-24,377708,43338,8421,427979,106500
2019-12-25,293802,60377,9780,351575,105909
2019-12-26,379241,46621,7527,435963,108779
2019-12-27,396577,50484,8843,465133,120091
2019-12-28,333844,51605,8167,391144,104128
2019-12-29,277431,47820,7384,328859,92564
2019-12-30,388380,45267,8237,453072,116859
2019-12-31,386769,50724,8827,454195,117548
2020-01-01,343368,52860,7510,310521,95432
2020-01-02,543329,48327,9023,471619,125304
2020-01-03,547889,55607,9803,488285,134920
2020-01-04,447356,55537,9077,398403,112398
2020-01-05,383118,48687,7493,334234,96268
2020-01-06,559422,42557,9125,485027,127456
2020-01-07,572329,40660,9170,493122,129763
2020-01-08,585521,38693,8988,494735,124841
2020-01-09,589061,39825,9066,499320,127360
2020-01-10,578198,53983,10605,507608,133383
2020-01-11,452102,59041,9629,407188,112882
2020-01-12,355850,55063,9068,329960,99737
2020-01-13,550512,38827,9160,476609,124580
2020-01-14,555358,39631,9584,483767,129798
2020-01-15,554585,42827,10135,489740,134488
2020-01-16,578996,38389,9453,493372,126443
2020-01-17,602463,47837,9716,511522,126699
2020-01-18,459973,49981,8612,397897,107400
2020-01-19,370092,51772,8168,331728,97933
2020-01-20,529204,41095,7727,446076,111461
2020-01-21,603799,38455,8509,497763,117284
2020-01-22,607541,42079,8996,503751,119009
2020-01-23,584225,47283,9894,504068,130741
2020-01-24,576917,61747,11102,516271,139513
2020-01-25,450000,64384,9492,409125,115819
2020-01-26,377672,54243,8006,338549,99418
2020-01-27,565032,43577,9613,485919,126343
2020-01-28,577209,44506,10007,497715,131619
2020-01-29,595437,45219,10019,508668,131730
2020-01-30,600352,46517,10331,511922,132518
2020-01-31,488299,61764,10652,475619,135710
2020-02-01,446978,70716,10394,422817,122912
2020-02-02,357427,59814,8978,338703,103823
2020-02-03,556859,44280,9691,486492,124847
2020-02-04,573608,42146,9980,495980,126974
2020-02-05,593764,41524,9901,504757,124636
2020-02-06,565744,44829,10217,495363,130557
2020-02-07,569976,56280,10912,504900,130603
2020-02-08,462386,62998,10237,419619,114759
2020-02-09,372149,51545,8448,334423,97024
2020-02-10,540320,43932,9685,473752,126059
2020-02-11,543186,45644,10395,480807,129550
2020-02-12,548592,45690,10726,494035,170725
2020-02-13,551920,44811,10269,494163,174162
2020-02-14,558226,49246,10106,499250,170825
2020-02-15,446485,59575,9496,411228,153297
2020-02-16,348616,67088,9295,346896,149565
2020-02-17,468883,58714,9985,447223,179693
2020-02-18,532793,46881,10731,488568,187366
2020-02-19,552780,49105,11106,501920,189419
2020-02-20,568510,52185,11095,514250,192301
2020-02-21,586154,60070,11158,526019,188458
2020-02-22,457498,65902,10007,424510,164631
2020-02-23,355975,67096,9859,352780,156595
2020-02-24,532312,50719,11167,494599,197446
2020-02-25,538439,52105,11425,502681,203936
2020-02-26,554709,53581,11905,510427,200508
2020-02-27,574251,54475,11729,524413,203917
2020-02-28,583715,70135,12568,546558,212718
2020-02-29,468252,73177,10447,447256,188285
2020-03-01,376368,62293,8988,358457,153552
2020-03-02,529784,54286,11002,496155,198848
2020-03-03,530935,60415,12187,512214,215025
2020-03-04,535332,62590,12484,514324,214011
2020-03-05,543626,63330,12320,523708,220531
2020-03-06,564001,66572,12477,527372,207157
2020-03-07,463477,68242,10603,431587,171495
2020-03-08,355307,73228,10003,354942,157206
2020-03-09,524897,64671,12026,501499,203772
2020-03-10,538329,55615,11162,498532,199590
2020-03-11,528491,64445,12247,511731,219041
2020-03-12,546355,56414,10670,502006,198923
2020-03-13,521844,62979,11166,485220,191645
2020-03-14,414238,61129,9372,389745,165252
2020-03-15,327235,59619,8347,317861,142939
2020-03-16,486622,47534,8571,433162,164492
2020-03-17,464949,51234,8536,423496,168434
2020-03-18,459418,49223,8245,417180,164699
2020-03-19,437799,51605,7912,400236,158926
2020-03-20,407305,55937,7879,383506,152691
2020-03-21,321877,52430,6495,302051,122194
2020-03-22,245942,45422,5305,234718,103407
2020-03-23,349128,34710,5230,310977,120319
2020-03-24,349801,38731,5776,323120,131060
2020-03-25,348724,38110,5379,316284,127256
2020-03-26,342892,40362,5779,317925,129965
2020-03-27,332834,47512,6096,318447,133041
2020-03-28,258892,44668,4876,249283,110274
2020-03-29,208534,44126,4673,209516,100031
2020-03-30,309374,36339,5257,289357,118279
2020-03-31,314959,34801,5212,292027,121593
