location_id,incident_type,count,av_duration_hours
00186317dbb69b00acffd2984b96194e,cash_drawer,0,
00186317dbb69b00acffd2984b96194e,coffee,1,
00186317dbb69b00acffd2984b96194e,frozen_drink,2,3.75
00186317dbb69b00acffd2984b96194e,pin_pad,0,
00186317dbb69b00acffd2984b96194e,register,0,
00186317dbb69b00acffd2984b96194e,soda_fountain,0,
002046bedb961740983264904b961947,cash_drawer,0,
002046bedb961740983264904b961947,coffee,0,
002046bedb961740983264904b961947,frozen_drink,0,
002046bedb961740983264904b961947,pin_pad,0,
002046bedb961740983264904b961947,register,1,
002046bedb961740983264904b961947,soda_fountain,0,
0038bdf4dbe69b40983264904b96192f,cash_drawer,0,
0038bdf4dbe69b40983264904b96192f,coffee,1,
0038bdf4dbe69b40983264904b96192f,frozen_drink,0,
0038bdf4dbe69b40983264904b96192f,pin_pad,1,8.92
0038bdf4dbe69b40983264904b96192f,register,2,1.225
0038bdf4dbe69b40983264904b96192f,soda_fountain,1,12.4
0038bdf4dbe69b40983264904b96194a,cash_drawer,0,
0038bdf4dbe69b40983264904b96194a,coffee,0,
0038bdf4dbe69b40983264904b96194a,frozen_drink,0,
0038bdf4dbe69b40983264904b96194a,pin_pad,0,
0038bdf4dbe69b40983264904b96194a,register,1,1.37
0038bdf4dbe69b40983264904b96194a,soda_fountain,3,20.16
005f35badb961740983264904b961998,cash_drawer,0,
005f35badb961740983264904b961998,coffee,0,
005f35badb961740983264904b961998,frozen_drink,0,
005f35badb961740983264904b961998,pin_pad,0,
005f35badb961740983264904b961998,register,0,
005f35badb961740983264904b961998,soda_fountain,2,28.555
0061c636dbd61740983264904b96196f,cash_drawer,1,
0061c636dbd61740983264904b96196f,coffee,0,
0061c636dbd61740983264904b96196f,frozen_drink,1,3.23
0061c636dbd61740983264904b96196f,pin_pad,0,
0061c636dbd61740983264904b96196f,register,0,
0061c636dbd61740983264904b96196f,soda_fountain,0,
00687578dbe69b40983264904b961912,cash_drawer,0,
00687578dbe69b40983264904b961912,coffee,0,
00687578dbe69b40983264904b961912,frozen_drink,2,2.9
00687578dbe69b40983264904b961912,pin_pad,1,3.8
00687578dbe69b40983264904b961912,register,4,23.13
00687578dbe69b40983264904b961912,soda_fountain,0,
00783d78dbe69b40983264904b961997,cash_drawer,0,
00783d78dbe69b40983264904b961997,coffee,2,7.725
00783d78dbe69b40983264904b961997,frozen_drink,0,
00783d78dbe69b40983264904b961997,pin_pad,0,
00783d78dbe69b40983264904b961997,register,3,2.66
00783d78dbe69b40983264904b961997,soda_fountain,0,
00818e36dbd61740983264904b9619e6,cash_drawer,1,
00818e36dbd61740983264904b9619e6,coffee,0,
00818e36dbd61740983264904b9619e6,frozen_drink,0,
00818e36dbd61740983264904b9619e6,pin_pad,0,
00818e36dbd61740983264904b9619e6,register,2,35.515
00818e36dbd61740983264904b9619e6,soda_fountain,0,
00a1c676dbd61740983264904b96191a,cash_drawer,2,3.855
00a1c676dbd61740983264904b96191a,coffee,2,12.86
00a1c676dbd61740983264904b96191a,frozen_drink,2,4.904999999999999
00a1c676dbd61740983264904b96191a,pin_pad,1,2.57
00a1c676dbd61740983264904b96191a,register,0,
00a1c676dbd61740983264904b96191a,soda_fountain,5,8.370000000000001
00b1ca76dbd61740983264904b961929,cash_drawer,0,
00b1ca76dbd61740983264904b961929,coffee,1,
00b1ca76dbd61740983264904b961929,frozen_drink,0,
00b1ca76dbd61740983264904b961929,pin_pad,0,
00b1ca76dbd61740983264904b961929,register,0,
00b1ca76dbd61740983264904b961929,soda_fountain,0,
00e046b2dbd61740983264904b9619c2,cash_drawer,0,
00e046b2dbd61740983264904b9619c2,coffee,0,
00e046b2dbd61740983264904b9619c2,frozen_drink,3,10.943333333333333
00e046b2dbd61740983264904b9619c2,pin_pad,0,
00e046b2dbd61740983264904b9619c2,register,4,4.785
00e046b2dbd61740983264904b9619c2,soda_fountain,0,
00eef13adb961740983264904b961987,cash_drawer,0,
00eef13adb961740983264904b961987,coffee,0,
00eef13adb961740983264904b961987,frozen_drink,3,4.533333333333334
00eef13adb961740983264904b961987,pin_pad,1,1.83
00eef13adb961740983264904b961987,register,0,
00eef13adb961740983264904b961987,soda_fountain,0,
0108bdb4dbe69b40983264904b9619a0,cash_drawer,0,
0108bdb4dbe69b40983264904b9619a0,coffee,0,
0108bdb4dbe69b40983264904b9619a0,frozen_drink,0,
0108bdb4dbe69b40983264904b9619a0,pin_pad,0,
0108bdb4dbe69b40983264904b9619a0,register,0,
0108bdb4dbe69b40983264904b9619a0,soda_fountain,0,
012086bedb961740983264904b96195c,cash_drawer,0,
012086bedb961740983264904b96195c,coffee,0,
012086bedb961740983264904b96195c,frozen_drink,0,
012086bedb961740983264904b96195c,pin_pad,1,3.18
012086bedb961740983264904b96195c,register,3,
012086bedb961740983264904b96195c,soda_fountain,0,
0138fdf4dbe69b40983264904b96199d,cash_drawer,0,
0138fdf4dbe69b40983264904b96199d,coffee,0,
0138fdf4dbe69b40983264904b96199d,frozen_drink,0,
0138fdf4dbe69b40983264904b96199d,pin_pad,1,0.68
0138fdf4dbe69b40983264904b96199d,register,1,
0138fdf4dbe69b40983264904b96199d,soda_fountain,5,1.9249999999999998
014042fedb961740983264904b961924,cash_drawer,0,
014042fedb961740983264904b961924,coffee,0,
014042fedb961740983264904b961924,frozen_drink,1,
014042fedb961740983264904b961924,pin_pad,1,4
014042fedb961740983264904b961924,register,1,4.3
014042fedb961740983264904b961924,soda_fountain,0,
015144681b1b77009cc74002dd4bcba4,cash_drawer,0,
015144681b1b77009cc74002dd4bcba4,coffee,0,
015144681b1b77009cc74002dd4bcba4,frozen_drink,1,9.82
015144681b1b77009cc74002dd4bcba4,pin_pad,0,
015144681b1b77009cc74002dd4bcba4,register,0,
015144681b1b77009cc74002dd4bcba4,soda_fountain,0,
015f75badb961740983264904b9619b0,cash_drawer,0,
015f75badb961740983264904b9619b0,coffee,0,
015f75badb961740983264904b9619b0,frozen_drink,0,
015f75badb961740983264904b9619b0,pin_pad,0,
015f75badb961740983264904b9619b0,register,0,
015f75badb961740983264904b9619b0,soda_fountain,0,
0165cbc51b1980d081bdb802dd4bcbc5,cash_drawer,0,
0165cbc51b1980d081bdb802dd4bcbc5,coffee,0,
0165cbc51b1980d081bdb802dd4bcbc5,frozen_drink,1,2.82
0165cbc51b1980d081bdb802dd4bcbc5,pin_pad,0,
0165cbc51b1980d081bdb802dd4bcbc5,register,1,
0165cbc51b1980d081bdb802dd4bcbc5,soda_fountain,4,3.063333333333334
016ef976db961740983264904b9619de,cash_drawer,0,
016ef976db961740983264904b9619de,coffee,0,
016ef976db961740983264904b9619de,frozen_drink,1,
016ef976db961740983264904b9619de,pin_pad,2,4.88
016ef976db961740983264904b9619de,register,0,
016ef976db961740983264904b9619de,soda_fountain,1,24
01affdfadb961740983264904b9619d9,cash_drawer,0,
01affdfadb961740983264904b9619d9,coffee,0,
01affdfadb961740983264904b9619d9,frozen_drink,3,8.35
01affdfadb961740983264904b9619d9,pin_pad,0,
01affdfadb961740983264904b9619d9,register,0,
01affdfadb961740983264904b9619d9,soda_fountain,2,4.975
01b97570db2a9b40983264904b9619ec,cash_drawer,0,
01b97570db2a9b40983264904b9619ec,coffee,0,
01b97570db2a9b40983264904b9619ec,frozen_drink,0,
01b97570db2a9b40983264904b9619ec,pin_pad,0,
01b97570db2a9b40983264904b9619ec,register,1,
01b97570db2a9b40983264904b9619ec,soda_fountain,1,6.34
01b98dad1b013b484ebd7510cd4bcbb3,cash_drawer,0,
01b98dad1b013b484ebd7510cd4bcbb3,coffee,0,
01b98dad1b013b484ebd7510cd4bcbb3,frozen_drink,2,0.78
01b98dad1b013b484ebd7510cd4bcbb3,pin_pad,0,
01b98dad1b013b484ebd7510cd4bcbb3,register,0,
01b98dad1b013b484ebd7510cd4bcbb3,soda_fountain,0,
01defdf6db961740983264904b9619f7,cash_drawer,0,
01defdf6db961740983264904b9619f7,coffee,0,
01defdf6db961740983264904b9619f7,frozen_drink,0,
01defdf6db961740983264904b9619f7,pin_pad,0,
01defdf6db961740983264904b9619f7,register,0,
01defdf6db961740983264904b9619f7,soda_fountain,0,
0210c2bedb961740983264904b961921,cash_drawer,0,
0210c2bedb961740983264904b961921,coffee,0,
0210c2bedb961740983264904b961921,frozen_drink,0,
0210c2bedb961740983264904b961921,pin_pad,0,
0210c2bedb961740983264904b961921,register,0,
0210c2bedb961740983264904b961921,soda_fountain,0,
021fb17adb961740983264904b96199a,cash_drawer,0,
021fb17adb961740983264904b96199a,coffee,1,2.3
021fb17adb961740983264904b96199a,frozen_drink,0,
021fb17adb961740983264904b96199a,pin_pad,0,
021fb17adb961740983264904b96199a,register,0,
021fb17adb961740983264904b96199a,soda_fountain,3,3.4599999999999995
0228b9f4dbe69b40983264904b96196c,cash_drawer,0,
0228b9f4dbe69b40983264904b96196c,coffee,1,
0228b9f4dbe69b40983264904b96196c,frozen_drink,0,
0228b9f4dbe69b40983264904b96196c,pin_pad,0,
0228b9f4dbe69b40983264904b96196c,register,0,
0228b9f4dbe69b40983264904b96196c,soda_fountain,2,9.355
0232023adbd61740983264904b96195d,cash_drawer,0,
0232023adbd61740983264904b96195d,coffee,0,
0232023adbd61740983264904b96195d,frozen_drink,1,0.61
0232023adbd61740983264904b96195d,pin_pad,1,
0232023adbd61740983264904b96195d,register,3,6.47
0232023adbd61740983264904b96195d,soda_fountain,1,5.77
0238b138dbe69b40983264904b96193a,cash_drawer,0,
0238b138dbe69b40983264904b96193a,coffee,2,10.535
0238b138dbe69b40983264904b96193a,frozen_drink,0,
0238b138dbe69b40983264904b96193a,pin_pad,0,
0238b138dbe69b40983264904b96193a,register,1,0.07
0238b138dbe69b40983264904b96193a,soda_fountain,4,5.300000000000001
0247778b1b7b270c4ebd7510cd4bcbba,cash_drawer,0,
0247778b1b7b270c4ebd7510cd4bcbba,coffee,0,
0247778b1b7b270c4ebd7510cd4bcbba,frozen_drink,4,7.0675
0247778b1b7b270c4ebd7510cd4bcbba,pin_pad,0,
0247778b1b7b270c4ebd7510cd4bcbba,register,1,3.47
0247778b1b7b270c4ebd7510cd4bcbba,soda_fountain,0,
0247778b1b7b270c4ebd7510cd4bcbc2,cash_drawer,1,20.83
0247778b1b7b270c4ebd7510cd4bcbc2,coffee,0,
0247778b1b7b270c4ebd7510cd4bcbc2,frozen_drink,0,
0247778b1b7b270c4ebd7510cd4bcbc2,pin_pad,0,
0247778b1b7b270c4ebd7510cd4bcbc2,register,1,
0247778b1b7b270c4ebd7510cd4bcbc2,soda_fountain,1,11.07
02500afedb961740983264904b9619b8,cash_drawer,0,
02500afedb961740983264904b9619b8,coffee,1,8
02500afedb961740983264904b9619b8,frozen_drink,0,
02500afedb961740983264904b9619b8,pin_pad,2,2.98
02500afedb961740983264904b9619b8,register,0,
02500afedb961740983264904b9619b8,soda_fountain,0,
026739b0dbe69b40983264904b9619c1,cash_drawer,0,
026739b0dbe69b40983264904b9619c1,coffee,0,
026739b0dbe69b40983264904b9619c1,frozen_drink,1,1.86
026739b0dbe69b40983264904b9619c1,pin_pad,0,
026739b0dbe69b40983264904b9619c1,register,0,
026739b0dbe69b40983264904b9619c1,soda_fountain,0,
0277f1f0dbe69b40983264904b96192e,cash_drawer,0,
0277f1f0dbe69b40983264904b96192e,coffee,0,
0277f1f0dbe69b40983264904b96192e,frozen_drink,3,6.245
0277f1f0dbe69b40983264904b96192e,pin_pad,0,
0277f1f0dbe69b40983264904b96192e,register,0,
0277f1f0dbe69b40983264904b96192e,soda_fountain,1,4.69
02810276dbd61740983264904b9619eb,cash_drawer,1,5.17
02810276dbd61740983264904b9619eb,coffee,1,2.67
02810276dbd61740983264904b9619eb,frozen_drink,1,8.72
02810276dbd61740983264904b9619eb,pin_pad,1,
02810276dbd61740983264904b9619eb,register,0,
02810276dbd61740983264904b9619eb,soda_fountain,2,6.890000000000001
